participantId,age_best,epistemic,target,choseIndividualAsBF,whyAnswer,why_rt_ms
TT003_1788117160485,6.494,Hmm,Blake,0,because they have been together for a long time.,43240
TT005_1788117630928,6.94,Hmm,Rowan,0,"because one that said the wuds all lilke to play with bug, it said him",38785
TT005_1788117630928,6.94,Yes,Jordan,1,kids like to stack stuff but wugs do the same,42737
TT005_1788792254349,7.732,Hmm,Riley,1,I think because the boss will know more about Riley than the best friend.,57252
TT005_1788792254349,7.732,Yes,Blake,1,Because the boss should know more than the best friend.,28716
TT007_1788386966874,7.737,Yes,Wren,0,Because of what they said when they were talking,65704
TT008_1786715410646,6.508,Hmm,Jordan,1,It's because the boss is in charge,26623
TT008_1786715410646,6.508,Yes,Rowan,1,It's because there's already a boss.,37197
TT009_1785687274748,6.782,Hmm,Taylor,0,He doesn't really know he is just guessing,33214
TT009_1785687274748,6.782,Yes,Wren,0,Taking a guess,38531
TT013_1785419342433,8.424,Yes,Wren,0,because friends know about each other,65264
TT013_1785419342433,8.424,Hmm,Casey,1,She forgot what it was but we can't go back.,29065
TT013_1785585417332,7.984,Yes,Wren,0,I don't know,18975
TT013_1785585417332,7.984,Hmm,Casey,1,I don't know,15267
TT013_1788449231115,8.027,Hmm,Jordan,0,Because Skyler said he,58497
TT014_1785316508137,7.02,Hmm,Arlo,1,Because he called him by his name,69406
TT014_1785316508137,7.02,Yes,Rowan,0,Because he called him by his name,37865
TT016_1786992717525,7.206,Hmm,Arlo,0,It said in the beginning Arlo was the best friend. And Cora was the boss.,75609
TT016_1786992717525,7.206,Yes,Sage,0,I don't know.,31035
TT017_1786028328933,7.943,Yes,Sage,0,He talks with him more.,43930
TT017_1786028328933,7.943,Hmm,Jordan,1,because they're probably best friends. They talk too much during school together.,40189
TT017_1787342696566,8.947,Hmm,Riley,0,ash wonder about spishies about Rirley.,75723
TT017_1787342696566,8.947,Yes,Jordan,1,she said something about spishies.,57274
TT018_1786735232587,8.649,Yes,Wren,0,idk,18166
TT018_1786735232587,8.649,Hmm,Theo,0,idk,9100
TT019_1785875146213,6.261,Hmm,Taylor,0,Because I just do.,54556
TT019_1785875146213,6.261,Yes,Theo,0,I just do.,10737
TT019_1785956087659,8.282,Hmm,Jordan,1,because Reese is Jordan's best friend.,249934
TT019_1785956087659,8.282,Yes,Taylor,0,Finley  is Taylor's best friend.,426644
TT022_1787772831079,5.027,Yes,Rowan,1,don't knpw,29215
TT023_1785433102838,5.128,Yes,Arlo,1,because i dont remember,60904
TT023_1785433102838,5.128,Hmm,Sam,0,i dont know,14904
TT026_1785765700663,7.57,Yes,Arlo,1,cause beau says wugs and bosses usually say groups of people,62540
TT026_1786301333961,6.617,Yes,Wren,1,Because the yellow guy says that he spins around before sitting down. Because he said the blue guy's name.,50952
